ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
Agencia Publicidad (Brava),3%,3%,3%,3%,3%,2%,3%,2%,2%,3%,3%,2%,2%,,,,,,
Pautas Digitales (Instagram/Meta),1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,
Subtotal Gastos de Mercadeo,4%,4%,4%,4%,4%,3%,4%,3%,3%,4%,4%,2%,3%,,3-5%,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL GASTOS OPERATIVOS,33%,31%,32%,30%,34%,28%,32%,25%,24%,33%,31%,18%,28%,,,,,,
,,,,,,,,,,,,,,,,,,,
UTILIDAD OPERATIVA (EBIT),20%,25%,20%,26%,19%,30%,23%,35%,37%,22%,26%,49%,29%,,,,,,
Margen Operativo %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS FINANCIEROS,,,,,,,,,,,,,,,,,,,
Intereses Prestamos Bancarios,1%,2%,2%,2%,2%,1%,2%,1%,1%,2%,2%,1%,1%,,,,,,
Comisiones e Intereses Bancarios,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Subtotal Gastos Financieros,1%,2%,2%,2%,2%,1%,2%,1%,1%,2%,2%,1%,1%,,Menos 5%,,,,
,,,,,,,,,,,,,,,,,,,
UTILIDAD ANTES DE IMPUESTOS,18%,23%,19%,24%,17%,29%,21%,34%,35%,20%,24%,48%,28%,,,,,,
Margen antes de Impuestos %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
IMPUESTOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
IVA Regimen Simplificado,0%,2%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Patente Municipal,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,,,,,,
Subtotal Impuestos,0%,2%,0%,0%,1%,0%,0%,0%,0%,0%,0%,2%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,
UTILIDAD NETA,18%,22%,19%,24%,17%,29%,21%,34%,35%,20%,24%,46%,28%,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
BALANCE GENERAL ESTIMADO AL 31 DE DICIEMBRE 2025,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACTIVOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACTIVO CIRCULANTE,,,,,,,,,,,,,,,,,,,
Bancos (Saldo BCR al 31/12),,," ?6,781,885 ",,,,,,,,,,,,,,,,
Cuentas por Cobrar,,, ?-   ,Ventas de contado,,,,,,,,,,,,,,,
Inventarios (Estimado 15 dias mercaderia),,," ?325,006 ",650013 / 2,,,,,,,,,,,,,,,
Total Activo Circulante,,," ?7,106,891 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ACTIVO FIJO,,,,,,,,,,,,,,,,,,,
Maquinaria y Equipo (Costo historico),,," ?5,036,500 ",USD 10000 x 503.65,,,,,,,,,,,,,,,
Depreciacion Acumulada,,,"-?4,236,500 ",84% depreciado (7 años promedio),,,,,,,,,,,,,,,
Activo Fijo Neto,,," ?800,000 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL ACTIVOS,,," ?7,906,891 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PASIVOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PASIVO CIRCULANTE,,,,,,,,,,,,,,,,,,,
Cuentas por Pagar Comerciales,,," ?150,000 ",Estimado proveedores,,,,,,,,,,,,,,,
Prestamos Bancarios Corto Plazo (porcion corriente),,," ?1,185,503 ",Cuotas 2026 prestamos,,,,,,,,,,,,,,,
Total Pasivo Circulante,,," ?1,335,503 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PASIVO LARGO PLAZO,,,,,,,,,,,,,,,,,,,
Prestamo 292003884 (saldo),,," ?2,500,000 ",Estimado saldo pendiente,,,,,,,,,,,,,,,
Prestamo 294061667 (saldo),,," ?2,800,000 ",Estimado saldo pendiente,,,,,,,,,,,,,,,
